,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
0,1,1298,50,930,257739,12.520718970123877,2.0,22.383483118775807,77,20585,379002.86887746595
1,2,1620,60,1014,299713,12.419733134427316,1.0,20.70251118846345,79,24132,451947.1700282022
2,3,1764,110,983,401275,14.062061956826465,1.0,7.693404821979255,79,28536,664808.117871756
3,4,1542,69,913,327091,14.462813937035726,1.0,4.615714538379908,78,22616,519173.034267775
4,5,261,26,597,50087,14.79238038984052,2.0,19.500295333727113,73,3386,831.3191726540449
5,6,1079,94,799,209690,14.497372787610619,2.0,17.197455752212388,74,14464,297134.2155299471
6,7,102,5,526,20436,12.708955223880597,2.0,3.0,71,1608,-51386.79104477612
7,8,860,47,727,197591,14.329610559141345,1.0,20.044020596127346,74,13789,286153.2300787353
8,10,388,28,772,58812,13.893692416725726,1.0,11.551618237656509,76,4233,-13146.206826819749
9,11,1455,114,883,277154,13.762737113913994,2.0,15.164067931274207,76,20138,423981.9600582982
10,12,337,15,808,96939,13.842496073111523,1.0,2.619877195487648,76,7003,58141.330215621856
11,14,80,15,283,13079,14.61340782122905,3.0,18.757541899441343,65,895,-19858.638163262105
12,15,1364,137,830,259569,14.925478695877178,2.0,20.142832499568744,76,17391,394842.7072869495
13,16,140,25,400,27054,19.407460545193686,4.0,18.4390243902439,69,1394,-12494.198022348417
14,17,387,44,823,70271,14.756614867702647,2.0,18.24632507349853,75,4762,1954.8795167481771
15,19,2426,87,885,377481,13.111531781868704,2.0,14.200312608544634,78,28790,634433.5936571877
16,20,896,111,742,287740,15.811627651390262,2.0,20.669963732278273,74,18198,469873.8071498476
17,22,742,40,838,121284,14.312485248996932,1.0,14.439579891432617,77,8474,105430.33819252452
18,23,235,9,557,49126,16.829736211031175,1.0,15.089756766015759,68,2919,5163.079781801107
19,24,340,43,600,62363,15.012758786711604,2.0,19.850987000481464,73,4154,25674.6095285439
20,27,620,36,689,117671,15.697838847385272,2.0,26.86846318036286,75,7496,125196.04415515397
21,28,2,1,3,75,25.0,1.0,5.0,3,3,129.0
22,29,18,2,144,3927,16.430962343096233,2.0,28.13389121338912,41,239,-12923.179916805973
23,32,18,6,211,4145,14.646643109540635,3.0,5.106007067137809,63,283,-28801.752650176677
24,33,68,16,171,11681,15.072258064516129,3.0,20.081290322580646,58,775,-2516.300242893306
25,36,1023,134,613,163547,16.279812860840135,3.0,10.466952020704758,73,10046,230895.51049441114
26,37,277,9,823,38404,12.554429552141222,1.0,10.64040536122916,78,3059,-64540.21260145437
27,40,4,2,15,426,28.4,3.0,27.466666666666665,8,15,2930.5666657156785
28,42,43,8,105,7178,22.15432098765432,2.0,21.410493827160494,36,324,-59.7967021201423
29,43,92,12,250,16341,22.91865357643759,2.0,33.69004207573632,59,713,-6185.077138851812
30,44,258,53,423,52494,21.964016736401675,3.0,9.378242677824268,69,2390,34217.073605148835
31,45,397,29,839,61111,14.693676364510699,1.0,22.950709305121425,78,4159,-19603.73548010557
32,46,33,8,59,1951,15.2421875,3.0,21.734375,27,128,-2475.8206060470748
33,47,136,18,172,15438,20.72214765100671,3.0,14.538255033557046,46,745,3999.6559876429383
34,48,200,24,390,26831,17.983243967828418,2.0,22.408176943699733,70,1492,-10772.199211302748
35,49,201,56,363,44930,22.498748122183276,3.0,15.338007010515774,68,1997,30113.623419826297
36,50,85,11,602,25006,13.50945434900054,2.0,4.796326310102647,71,1851,-55372.857914640736
37,51,3,1,17,364,21.41176470588235,3.0,7.0,11,17,-328.34711763700216
38,52,132,13,460,30117,16.89119461581604,3.0,10.960740325294447,67,1783,-17243.05024866689
39,53,77,12,184,8681,15.58527827648115,4.0,15.545780969479354,63,557,-11631.979629371504
40,54,131,14,250,18287,18.775154004106778,2.0,29.87782340862423,64,974,-2415.442505218784
41,55,2,2,1,360,120.0,3.0,32.0,1,3,5847.999999989782
42,56,83,19,275,17988,17.58357771260997,3.0,12.635386119257086,63,1023,-9058.503953651714
43,57,415,15,860,85793,12.451814223512336,1.0,14.580841799709724,79,6890,29281.660660328627
44,58,92,8,474,23357,16.888647866955893,2.0,3.8553868402024585,70,1383,-36424.07266811279
45,60,32,10,155,4775,11.9375,3.0,13.2775,62,400,-14543.694321366205
46,61,23,3,314,7576,14.160747663551401,4.0,9.71588785046729,63,535,-37682.918120733404
47,62,58,5,280,13681,18.19281914893617,3.0,6.1436170212765955,62,752,-21184.884335028855
48,64,19,2,139,2382,14.613496932515337,2.0,18.70552147239264,55,163,-16167.840424478774
49,67,21,6,100,3636,19.76086956521739,2.0,7.494565217391305,37,184,-8215.97485934063
50,68,6,5,33,716,18.842105263157894,4.0,6.815789473684211,24,38,-2672.158973700677
51,69,216,48,463,58936,21.056091461236157,3.0,9.165058949624866,65,2799,40635.138679664466
52,71,629,50,680,126290,13.926996029995589,2.0,0.1688354653727393,72,9068,141613.81054256723
53,72,107,11,513,26483,15.072851451337508,2.0,11.845190665907797,72,1757,-33904.69564778657
54,73,177,7,589,34251,13.689448441247002,2.0,16.297362110311752,74,2502,-30662.641784392974
55,104,101,5,633,24379,11.297034291010194,2.0,18.0,74,2158,-58432.7152541337
56,106,299,49,476,45240,17.596266044340723,3.0,14.134189031505251,70,2571,10884.928495542337
57,155,164,21,356,27144,19.683828861493836,3.0,14.086294416243655,69,1379,-4897.302185431552
58,162,104,11,510,21817,13.41758917589176,2.0,1.530750307503075,69,1626,-45913.0073800738
59,163,78,4,390,18445,13.931268882175226,2.0,11.0,66,1324,-28450.544625115996
60,165,109,9,229,15721,18.387134502923978,3.0,26.051461988304094,58,855,-4229.966670582198
61,166,4,1,15,223,13.9375,3.0,9.0,13,16,574.863363264272
62,169,3,3,4,158,22.571428571428573,3.0,40.0,4,7,5604.071428571425
