,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
2,3,1764,110,983,401275,14.062061956826465,1.0,7.693404821979255,79,28536,1084979.4105796188
15,19,2426,87,885,377481,13.111531781868704,2.0,14.200312608544634,78,28790,1039824.3606286906
3,4,1542,69,913,327091,14.462813937035726,1.0,4.615714538379908,78,22616,877701.209104174
1,2,1620,60,1014,299713,12.419733134427316,1.0,20.70251118846345,79,24132,837884.3397687718
16,20,896,111,742,287740,15.811627651390262,2.0,20.669963732278273,74,18198,755456.5664358721
9,11,1455,114,883,277154,13.762737113913994,2.0,15.164067931274207,76,20138,753114.0177177476
12,15,1364,137,830,259569,14.925478695877178,2.0,20.142832499568744,76,17391,690607.547196826
0,1,1298,50,930,257739,12.520718970123877,2.0,22.383483118775807,77,20585,718807.275433568
5,6,1079,94,799,209690,14.497372787610619,2.0,17.197455752212388,74,14464,561824.1056001106
7,8,860,47,727,197591,14.329610559141345,1.0,20.044020596127346,74,13789,531178.0318659802
25,36,1023,134,613,163547,16.279812860840135,3.0,10.466952020704758,73,10046,425714.9253931913
52,71,629,50,680,126290,13.926996029995589,2.0,0.1688354653727393,72,9068,341556.76936479926
17,22,742,40,838,121284,14.312485248996932,1.0,14.439579891432617,77,8474,325253.83290063724
20,27,620,36,689,117671,15.697838847385272,2.0,26.86846318036286,75,7496,308622.5228255069
93,273,706,116,466,109475,19.199403717993686,3.0,13.760785689231849,70,5702,274606.38809189753
71,234,585,78,543,99921,17.28437986507525,3.0,14.434699878913683,71,5781,256231.8037017817
10,12,337,15,808,96939,13.842496073111523,1.0,2.619877195487648,76,7003,262131.35414822213
43,57,415,15,860,85793,12.451814223512336,1.0,14.580841799709724,79,6890,238574.9713062409
14,17,387,44,823,70271,14.756614867702647,2.0,18.24632507349853,75,4762,186315.27801343973
19,24,340,43,600,62363,15.012758786711604,2.0,19.850987000481464,73,4154,164891.09227250842
31,45,397,29,839,61111,14.693676364510699,1.0,22.950709305121425,78,4159,161946.58487617216
8,10,388,28,772,58812,13.893692416725726,1.0,11.551618237656509,76,4233,158218.0456177652
51,69,216,48,463,58936,21.056091461236157,3.0,9.165058949624866,65,2799,144814.88252947482
30,44,258,53,423,52494,21.964016736401675,3.0,9.378242677824268,69,2390,127896.27020920502
4,5,261,26,597,50087,14.79238038984052,2.0,19.500295333727113,73,3386,132721.11337861783
18,23,235,9,557,49126,16.829736211031175,1.0,15.089756766015759,68,2919,126236.21856800273
56,106,299,49,476,45240,17.596266044340723,3.0,14.134189031505251,70,2571,115075.74399066511
35,49,201,56,363,44930,22.498748122183276,3.0,15.338007010515774,68,1997,108988.91927891837
115,313,429,62,142,44529,26.632177033492823,3.0,15.435406698564593,42,1672,105260.117284689
