Rank,publisher_id,Publisher_name,count_skus,count_products,num_retailers,total_points,points_median,importance_mode,remaining_lifecycle_months_median,count_geographies,count_listings
1,2,Sony,1620,60,1014,299713,4,1,24,79,24132
2,19,Ubisoft,2426,87,885,377481,4,2,15,78,28790
3,3,Electronic Arts,1764,110,983,401275,4,1,4,79,28536
4,4,2K Games,1542,69,913,327091,4,1,2,78,22616
5,1,Warners,1298,50,930,257739,4,2,16,77,20585
6,11,Square Enix,1455,114,883,277154,4,2,14,76,20138
7,15,Bandai Namco,1364,137,830,259569,4,2,20,76,17391
8,20,THQ Nordic,896,111,742,287740,5,2,14,74,18198
9,8,Nintendo,860,47,727,197591,4,1,20,74,13789
10,6,SEGA,1079,94,799,209690,4,2,15,74,14464
11,27,Deep Silver,620,36,689,117671,5,2,25,75,7496
12,45,Xbox Game Studios,557,37,869,91756,4,1,22,78,5991
13,273,Microids,706,116,466,109475,6,3,14,70,5702
14,57,Rockstar Games,415,15,860,85793,4,1,16,79,6890
15,22,Capcom,742,40,838,121284,4,1,9,77,8474
16,36,Nacon,1023,134,613,163547,4,3,7,73,10046
17,12,Activision,337,15,808,96939,4,1,3,76,7003
18,71,Milestone,629,50,680,126290,4,2,2,72,9068
19,5,Konami,261,26,597,50087,4,2,29,73,3386
20,234,Outright Games,585,78,543,99921,5,3,13,71,5781
21,24,Focus Entertainment,340,43,600,62363,4,2,14,73,4154
22,17,Koei Tecmo,387,44,823,70271,4,2,8,75,4762
23,10,Bethesda Softworks,388,28,772,58812,4,1,8,76,4233
24,37,CD Projekt Red,277,9,823,38404,4,1,5,78,3059
25,69,Merge Games,216,48,463,58936,6,3,10,65,2799
26,73,Techland,177,7,589,34251,4,2,16,74,2502
27,106,Team17,299,49,476,45240,5,3,14,70,2571
28,49,PQube,201,56,363,44930,6,3,13,68,1997
29,104,IO interactive,101,5,633,24379,4,2,18,74,2158
30,397,Krafton,138,7,442,29808,4,2,28,70,2042
31,313,NIS America,429,62,142,44529,12,3,9,42,1672
32,44,Modus Games,258,53,423,52494,8,3,5,69,2390
33,403,Epic Games,156,17,482,29607,4,2,14,67,2020
34,325,GameMill Entertainment,133,30,251,31962,8,3,25,59,1297
35,52,Sold Out,132,13,460,30117,5,3,13,67,1783
36,660,Activision,153,9,603,26891,4,1,27,71,1829
37,245,Skybound Games,125,40,398,29538,3,5,26,70,2240
38,48,Paradox Interactive,200,24,390,26831,6,2,16,70,1492
39,404,Numskull Games,141,21,243,21927,8,3,23,66,1092
40,319,Saber Interactive,112,14,423,23991,5,3,26,68,1425
41,217,Dovetail Games,97,11,256,28526,4,3,13,69,1912
42,281,Rebellion Developments,160,11,439,27456,4,2,22,69,1800
43,72,Frontier Developments,107,11,513,26483,4,2,15,72,1757
44,16,505 Games,140,25,400,27054,6,4,18,69,1394
45,58,Gearbox Software,92,8,474,23357,5,2,4,70,1383
46,7,CodeMasters,102,5,526,20436,4,2,3,71,1608
47,50,Private Division,85,11,602,25006,4,2,1,71,1851
48,155,Kalypso Media,164,21,356,27144,6,3,15,69,1379
49,287,Maximum Games,105,22,315,28758,6,3,14,64,1328
