,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
2,3,1764,110,983,401275,4.0,1.0,4.0,79,28536,662796.5
15,19,2426,87,885,377481,4.0,2.0,15.0,78,28790,634504.7531803919
3,4,1542,69,913,327091,4.0,1.0,2.0,78,22616,518901.0
16,20,896,111,742,287740,5.0,2.0,14.0,74,18198,469195.3290747442
1,2,1620,60,1014,299713,4.0,1.0,24.0,79,24132,452268.49996954005
9,11,1455,114,883,277154,4.0,2.0,14.0,76,20138,423855.3290747442
12,15,1364,137,830,259569,4.0,2.0,20.0,76,17391,394817.4983369426
0,1,1298,50,930,257739,4.0,2.0,16.0,77,20585,378355.90920014045
5,6,1079,94,799,209690,4.0,2.0,15.0,74,14464,296903.75318039185
7,8,860,47,727,197591,4.0,1.0,20.0,74,13789,286138.4983369426
25,36,1023,134,613,163547,4.0,3.0,7.0,73,10046,229823.7411176571
93,273,706,116,466,109475,6.0,3.0,14.0,70,5702,144136.3290747442
52,71,629,50,680,126290,4.0,2.0,2.0,72,9068,141787.0
20,27,620,36,689,117671,5.0,2.0,25.0,75,7496,124998.49998879441
71,234,585,78,543,99921,5.0,3.0,13.0,71,5781,111814.17623606889
17,22,742,40,838,121284,4.0,1.0,9.0,77,8474,104776.92586326427
115,313,429,62,142,44529,12.0,3.0,9.0,42,1672,67121.42586326427
10,12,337,15,808,96939,4.0,1.0,3.0,76,7003,58169.5
51,69,216,48,463,58936,6.0,3.0,10.0,65,2799,40751.368722222534
30,44,258,53,423,52494,8.0,3.0,5.0,69,2390,31833.5
35,49,201,56,363,44930,6.0,3.0,13.0,68,1997,29861.67623606889
43,57,415,15,860,85793,4.0,1.0,16.0,79,6890,29415.409200140475
19,24,340,43,600,62363,4.0,2.0,14.0,73,4154,25077.829074744193
122,325,133,30,251,31962,8.0,3.0,25.0,59,1297,24620.999988794407
69,217,97,11,256,28526,4.0,3.0,13.0,69,1912,16811.67623606889
56,106,299,49,476,45240,5.0,3.0,14.0,70,2571,10858.829074744195
175,419,85,27,162,17226,8.0,2.0,14.0,57,648,9257.829074744195
303,657,19,5,29,4475,38.0,2.0,34.0,15,66,9184.499999998618
193,446,138,17,132,15850,8.0,2.0,2.0,39,1020,9166.5
82,251,85,20,91,10398,8.0,3.0,25.0,38,408,9162.999988794407
476,916,1,1,1,120,120.0,3.0,52.0,1,1,7375.0
344,734,3,3,1,72,24.0,4.0,52.0,1,3,7167.0
345,736,2,2,1,48,24.0,4.0,52.0,1,2,7127.5
447,872,6,2,27,1188,24.0,2.0,72.0,12,42,6779.0
474,914,1,1,1,240,120.0,3.0,40.0,1,2,6416.499999999996
478,918,2,2,1,240,120.0,4.0,40.0,1,2,6407.499999999996
291,643,27,10,26,3136,24.0,3.0,27.0,14,89,6308.4999984834885
337,727,2,2,1,48,24.0,3.0,43.5,1,2,6276.5
497,940,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
489,931,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
488,930,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
480,920,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
505,950,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
485,925,1,1,1,120,120.0,3.0,40.0,1,1,6174.999999999996
350,741,4,2,1,96,24.0,3.0,40.0,1,4,6019.499999999996
353,744,3,3,1,72,24.0,3.0,40.0,1,3,5965.999999999996
347,738,2,2,1,48,24.0,3.0,40.0,1,2,5926.499999999996
475,915,1,1,1,240,120.0,3.0,35.0,1,2,5916.499999999492
182,427,3,3,2,112,24.0,3.0,40.0,2,4,5867.999999999996
406,824,9,3,8,736,36.0,4.0,38.0,4,21,5857.4999999999745
41,55,2,2,1,360,120.0,3.0,32.0,1,3,5847.999999989782
448,874,1,1,1,2,2.0,2.0,40.0,1,1,5819.999999999996
351,742,3,3,2,84,24.0,4.0,40.0,2,4,5812.999999999996
90,267,1,1,2,64,32.0,4.0,40.0,2,2,5797.999999999996
102,287,105,22,315,28758,6.0,3.0,14.0,64,1328,5779.329074744195
513,959,1,1,1,120,120.0,3.0,36.0,1,1,5774.999999999813
511,957,1,1,1,120,120.0,3.0,36.0,1,1,5774.999999999813
86,262,1,1,2,42,21.0,2.0,40.0,2,2,5740.999999999996
462,893,1,1,2,36,18.0,3.0,40.0,2,2,5726.999999999996
340,730,13,3,27,2841,8.0,2.0,28.0,11,75,5689.999999442107
503,946,1,1,1,120,120.0,4.0,35.0,1,1,5675.999999999492
512,958,1,1,1,120,120.0,3.0,35.0,1,1,5674.999999999492
